Datum, Počet přihlášených
2024-09-15 06:00,28478
2024-09-15 07:00,28498
2024-09-15 08:00,28558
2024-09-15 09:00,28667
2024-09-15 10:00,28776
2024-09-15 11:00,28858
2024-09-15 12:00,28954
2024-09-15 13:00,29055
2024-09-15 14:00,29182
2024-09-15 15:00,29301
2024-09-15 16:00,29398
2024-09-15 17:00,29557
2024-09-15 18:00,29701
2024-09-15 19:00,29884
2024-09-15 20:00,29993
2024-09-15 21:00,30079
2024-09-15 22:00,30109
2024-09-15 23:00,30116
2024-09-16 00:00,30117
2024-09-16 01:00,30120
2024-09-16 02:00,30121
2024-09-16 03:00,30121
2024-09-16 04:00,30119
2024-09-16 05:00,30134
2024-09-16 06:00,30178
2024-09-16 07:00,30595
2024-09-16 08:00,30926
2024-09-16 09:00,31469
2024-09-16 10:00,31987
2024-09-16 11:00,32550
2024-09-16 12:00,32891
2024-09-16 13:00,33216
2024-09-16 14:00,33477
2024-09-16 15:00,33648
2024-09-16 16:00,33833
2024-09-16 17:00,34035
2024-09-16 18:00,34237
2024-09-16 19:00,34480
2024-09-16 20:00,34663
2024-09-16 21:00,34730
2024-09-16 22:00,34756
2024-09-16 23:00,34765
2024-09-17 00:00,34769
2024-09-17 01:00,34769
2024-09-17 02:00,34769
2024-09-17 03:00,34770
2024-09-17 04:00,34771
2024-09-17 05:00,34797
2024-09-17 06:00,34863
2024-09-17 07:00,35275
2024-09-17 08:00,35679
2024-09-17 09:00,36312
2024-09-17 10:00,36746
2024-09-17 11:00,37147
2024-09-17 12:00,37518
2024-09-17 13:00,37819
2024-09-17 14:00,37952
2024-09-17 15:00,38088
2024-09-17 16:00,38234
2024-09-17 17:00,38390
2024-09-17 18:00,38584
2024-09-17 19:00,38826
2024-09-17 20:00,38971
2024-09-17 21:00,39063
2024-09-17 22:00,39093
2024-09-17 23:00,39099
2024-09-18 00:00,39101
2024-09-18 01:00,39103
2024-09-18 02:00,39103
2024-09-18 03:00,39105
2024-09-18 04:00,39112
2024-09-18 05:00,39128
2024-09-18 06:00,39206
2024-09-18 07:00,39645
2024-09-18 08:00,40037
2024-09-18 09:00,40485
2024-09-18 10:00,40958
2024-09-18 11:00,41495
2024-09-18 12:00,41763
2024-09-18 13:00,41965
2024-09-18 14:00,42087
2024-09-18 15:00,42238
2024-09-18 16:00,42383
2024-09-18 17:00,42515
2024-09-18 18:00,42683
2024-09-18 19:00,42887
2024-09-18 20:00,43025
2024-09-18 21:00,43098
2024-09-18 22:00,43118
2024-09-18 23:00,43122
2024-09-19 00:00,43123
2024-09-19 01:00,43123
2024-09-19 02:00,43123
2024-09-19 03:00,43123
2024-09-19 04:00,43130
2024-09-19 05:00,43160
2024-09-19 06:00,43267
2024-09-19 07:00,43825
2024-09-19 08:00,44254
2024-09-19 09:00,44828
2024-09-19 10:00,45398
2024-09-19 11:00,45810
2024-09-19 12:00,46167
2024-09-19 13:00,46425
2024-09-19 14:00,46557
2024-09-19 15:00,46692
2024-09-19 16:00,46845
2024-09-19 17:00,47002
2024-09-19 18:00,47226
2024-09-19 19:00,47449
2024-09-19 20:00,47573
2024-09-19 21:00,47624
2024-09-19 22:00,47640
2024-09-19 23:00,47644
2024-09-20 00:00,47647
2024-09-20 01:00,47648
2024-09-20 02:00,47649
2024-09-20 03:00,47650
2024-09-20 04:00,47657
2024-09-20 05:00,47686
2024-09-20 06:00,47827
2024-09-20 07:00,48391
2024-09-20 08:00,48851
2024-09-20 09:00,49261
2024-09-20 10:00,49588
2024-09-20 11:00,49817
2024-09-20 12:00,50050
2024-09-20 13:00,50153
2024-09-20 14:00,50221
2024-09-20 15:00,50292
2024-09-20 16:00,50373
2024-09-20 17:00,50439
2024-09-20 18:00,50494
2024-09-20 19:00,50578
2024-09-20 20:00,50622
2024-09-20 21:00,50663
2024-09-20 22:00,50675
2024-09-20 23:00,50681
2024-09-21 00:00,50681
2024-09-21 01:00,50681
2024-09-21 02:00,50682
2024-09-21 03:00,50683
2024-09-21 04:00,50683
2024-09-21 05:00,50691
2024-09-21 06:00,50700
2024-09-21 07:00,50726
2024-09-21 08:00,50766
2024-09-21 09:00,50809
2024-09-21 10:00,50872
2024-09-21 11:00,50908
2024-09-21 12:00,50950
2024-09-21 13:00,50992
2024-09-21 14:00,51052
2024-09-21 15:00,51090
2024-09-21 16:00,51126
2024-09-21 17:00,51170
2024-09-21 18:00,51210
2024-09-21 19:00,51268
2024-09-21 20:00,51312
2024-09-21 21:00,51340
2024-09-21 22:00,51358
2024-09-21 23:00,51359
2024-09-22 00:00,51362
2024-09-22 01:00,51363
2024-09-22 02:00,51363
2024-09-22 03:00,51365
2024-09-22 04:00,51365
2024-09-22 05:00,51367
2024-09-22 06:00,51384
2024-09-22 07:00,51430
2024-09-22 08:00,51532
2024-09-22 09:00,51631
2024-09-22 10:00,51726
2024-09-22 11:00,51804
2024-09-22 12:00,51888
2024-09-22 13:00,51959
2024-09-22 14:00,52059
2024-09-22 15:00,52173
2024-09-22 16:00,52308
2024-09-22 17:00,52471
2024-09-22 18:00,52692
2024-09-22 19:00,52932
2024-09-22 20:00,53124
2024-09-22 21:00,53233
2024-09-22 22:00,53264
2024-09-22 23:00,53275
2024-09-23 00:00,53279
2024-09-23 01:00,53283
2024-09-23 02:00,53284
2024-09-23 03:00,53285
2024-09-23 04:00,53290
2024-09-23 05:00,53316
2024-09-23 06:00,53457
2024-09-23 07:00,53869
2024-09-23 08:00,54265
2024-09-23 09:00,54822
2024-09-23 10:00,55347
2024-09-23 11:00,56016
2024-09-23 12:00,56502
2024-09-23 13:00,56893
2024-09-23 14:00,57110
2024-09-23 15:00,57282
2024-09-23 16:00,57517
2024-09-23 17:00,57733
2024-09-23 18:00,58066
2024-09-23 19:00,58416
2024-09-23 20:00,58624
2024-09-23 21:00,58756
2024-09-23 22:00,58794
2024-09-23 23:00,58803
2024-09-24 00:00,58806
2024-09-24 01:00,58810
2024-09-24 02:00,58809
2024-09-24 03:00,58810
2024-09-24 04:00,58827
2024-09-24 05:00,58869
2024-09-24 06:00,58975
2024-09-24 07:00,59587
2024-09-24 08:00,60139
2024-09-24 09:00,60913
2024-09-24 10:00,61508
2024-09-24 11:00,62205
2024-09-24 12:00,62728
2024-09-24 13:00,63124
2024-09-24 14:00,63325
2024-09-24 15:00,63584
2024-09-24 16:00,63947
2024-09-24 17:00,64310
2024-09-24 18:00,64737
2024-09-24 19:00,65167
2024-09-24 20:00,65466
2024-09-24 21:00,65591
2024-09-24 22:00,65644
2024-09-24 23:00,65662
2024-09-25 00:00,65664
2024-09-25 01:00,65669
2024-09-25 02:00,65627
2024-09-25 03:00,65634
2024-09-25 04:00,65641
2024-09-25 05:00,65697
2024-09-25 06:00,65978
2024-09-25 07:00,66790
2024-09-25 08:00,67539
2024-09-25 09:00,68275
2024-09-25 10:00,68962
2024-09-25 11:00,69627
2024-09-25 12:00,70170
2024-09-25 13:00,70452
2024-09-25 14:00,70720
2024-09-25 15:00,70957
2024-09-25 16:00,71209
2024-09-25 17:00,71562
2024-09-25 18:00,71997
2024-09-25 19:00,72432
2024-09-25 20:00,72750
2024-09-25 21:00,72900
2024-09-25 22:00,72948
2024-09-25 23:00,72960
2024-09-26 00:00,72951
2024-09-26 01:00,72953
2024-09-26 02:00,72954
2024-09-26 03:00,72957
2024-09-26 04:00,72983
2024-09-26 05:00,73043
2024-09-26 06:00,73243
2024-09-26 07:00,73817
2024-09-26 08:00,74455
2024-09-26 09:00,74985
2024-09-26 10:00,75616
2024-09-26 11:00,76223
2024-09-26 12:00,76729
2024-09-26 13:00,77147
2024-09-26 14:00,77418
2024-09-26 15:00,77718
2024-09-26 16:00,78032
2024-09-26 17:00,78365
2024-09-26 18:00,78841
2024-09-26 19:00,79259
2024-09-26 20:00,79518
2024-09-26 21:00,79643
2024-09-26 22:00,79709
2024-09-26 23:00,79722
2024-09-27 00:00,79730
2024-09-27 01:00,79733
2024-09-27 02:00,79735
2024-09-27 03:00,79737
2024-09-27 04:00,79750
2024-09-27 05:00,79816
2024-09-27 06:00,80010
